Source URL,Target URL,Redirect Type,Ignore Slash,Ignore Case,Regex
/uae-labour-law-guide-expats/,/uae-labour-law/,301,Yes,Yes,No
/uae-labour-law-working-hours/,/uae-labour-law/working-hours-overtime/,301,Yes,Yes,No
/overtime-calculation-uae/,/uae-labour-law/working-hours-overtime/,301,Yes,Yes,No
/uae-overtime-law-calculation-2026/,/uae-labour-law/working-hours-overtime/,301,Yes,Yes,No
/uae-annual-leave-law-2026/,/uae-labour-law/annual-leave-entitlement/,301,Yes,Yes,No
/uae-annual-leave-entitlement-law-vs-employer-practices/,/uae-labour-law/annual-leave-entitlement/,301,Yes,Yes,No
/sick-leave-uae/,/uae-labour-law/sick-leave-rules/,301,Yes,Yes,No
/maternity-leave-uae-2026/,/uae-labour-law/maternity-paternity-leave/,301,Yes,Yes,No
/uae-termination-law-compensation-2026/,/uae-labour-law/termination-rules/,301,Yes,Yes,No
/uae-labour-law-notice-period-2026/,/uae-labour-law/termination-rules/,301,Yes,Yes,No
/uae-probation-period-2026/,/uae-labour-law/contract-types-explained/,301,Yes,Yes,No
/uae-probation-period-labour-law-2026/,/uae-labour-law/contract-types-explained/,301,Yes,Yes,No
/freelance-work-in-dubai-your-guide-to-thriving-in-the-gig-economy/,/uae-freelance-visa/,301,Yes,Yes,No
/uae-freelance-visa-vs-employment-visa-decision-guide/,/uae-freelance-visa/freelance-vs-employment-visa/,301,Yes,Yes,No
/how-to-get-a-work-permit-in-dubai/,/uae-employment-visa/how-it-works/,301,Yes,Yes,No
/uae-residence-visa-stamp-process/,/uae-employment-visa/how-it-works/,301,Yes,Yes,No
/what-are-the-medical-tests-for-uae-residence-visa/,/uae-employment-visa/how-it-works/,301,Yes,Yes,No
/uae-work-permit-visa-cost-2026/,/uae-employment-visa/cost-and-who-pays/,301,Yes,Yes,No
/uae-work-permit-types-employer-visa-explained/,/uae-employment-visa/visa-types/,301,Yes,Yes,No
/type-of-residence-visa-in-uae/,/uae-employment-visa/visa-types/,301,Yes,Yes,No
/how-much-does-it-cost-to-renew-uae-residence-visa/,/uae-employment-visa/status-and-renewal/,301,Yes,Yes,No
/is-medical-insurance-required-for-uae-residence-visa/,/uae-employment-visa/status-and-renewal/,301,Yes,Yes,No
/internship/,/gcc-recruitment-guide/internships/,301,Yes,Yes,No
/internship-ultimate-guide/,/gcc-recruitment-guide/internships/,301,Yes,Yes,No
/internship-guidance-launch-your-professional/,/gcc-recruitment-guide/internships/,301,Yes,Yes,No
/uae-internship-guide-2026/,/gcc-recruitment-guide/internships/,301,Yes,Yes,No
/dubai-hospitality-internship-guide-2026/,/gcc-recruitment-guide/internships/hospitality/,301,Yes,Yes,No
/5-star-hotels-in-dubai-for-internship/,/gcc-recruitment-guide/internships/hospitality/,301,Yes,Yes,No
/best-food-and-beverages-internship-tips/,/gcc-recruitment-guide/internships/hospitality/,301,Yes,Yes,No
/best-front-desk-internship-tips/,/gcc-recruitment-guide/internships/hospitality/,301,Yes,Yes,No
/best-kitchen-internship-tips/,/gcc-recruitment-guide/internships/hospitality/,301,Yes,Yes,No
/how-to-apply-for-internship-in-dubai/,/gcc-recruitment-guide/internships/how-to-get-one/,301,Yes,Yes,No
/how-to-get-internship-dubai-2026/,/gcc-recruitment-guide/internships/how-to-get-one/,301,Yes,Yes,No
/how-to-land-a-top-internship-in-the-uae/,/gcc-recruitment-guide/internships/how-to-get-one/,301,Yes,Yes,No
/summer-internships-in-dubai/,/gcc-recruitment-guide/internships/how-to-get-one/,301,Yes,Yes,No
/uae-internships-summer/,/gcc-recruitment-guide/internships/how-to-get-one/,301,Yes,Yes,No
/uae-internship-to-full-time-job/,/gcc-recruitment-guide/internships/convert-to-a-job/,301,Yes,Yes,No
